customer_id,age,income,tenure_months,recency_days,num_purchases_last_year,avg_order_value,web_visits_last_month,email_open_rate,email_click_rate,prev_campaigns_contacted,prev_campaign_response,discount_offered_pct,has_loyalty_card,contact_channel,channel_preference,region,device,customer_segment,responded
CUST-90000,40,47800.0,54,43,9,66.09,8,0.497,0.134,2,1,15,1,Email,Email,North,Desktop,Regular,1
CUST-90001,44,33400.0,35,6,9,31.78,4,0.39,0.19,3,0,30,0,Email,Push,South,Desktop,New,0
CUST-90002,36,96100.0,18,1,6,29.01,4,0.421,0.042,1,1,10,0,Email,SMS,North,Tablet,New,0
CUST-90003,28,62500.0,28,3,3,159.54,10,0.764,0.248,7,0,5,0,Push,Email,West,Desktop,Regular,0
CUST-90004,34,,35,35,4,45.58,4,0.748,0.495,3,1,10,0,SMS,Push,South,Mobile,New,1
CUST-90005,27,63500.0,28,129,3,46.86,4,0.242,0.047,5,0,15,1,SMS,SMS,East,Mobile,New,0
CUST-90006,41,43600.0,6,187,4,97.17,5,0.198,0.023,3,1,15,1,Email,Email,North,Mobile,Dormant,0
CUST-90007,57,92300.0,14,12,6,122.01,6,0.297,0.078,4,1,20,0,Push,Email,East,Tablet,Regular,1
CUST-90008,34,29900.0,21,138,3,12.64,5,0.241,0.055,3,1,20,0,Push,Push,North,Mobile,Regular,0
CUST-90009,32,12000.0,13,39,3,82.87,6,0.545,0.136,3,0,10,1,Push,Email,South,Desktop,Regular,0
CUST-90010,46,53400.0,32,6,7,140.25,8,0.75,0.067,4,0,15,0,Email,Phone,East,Desktop,Regular,0
CUST-90011,45,44700.0,27,26,1,20.98,7,0.278,0.105,2,0,15,1,Email,Email,South,Mobile,Regular,0
CUST-90012,41,43300.0,75,80,3,67.51,6,0.331,0.178,2,0,10,0,Email,Email,West,Mobile,New,0
CUST-90013,28,12000.0,20,55,6,14.84,1,0.634,0.264,2,0,15,0,Email,SMS,North,Tablet,Regular,0
CUST-90014,40,61000.0,23,13,7,81.41,1,0.45,0.081,4,0,10,0,Phone,Phone,West,Desktop,VIP,0
CUST-90015,49,87100.0,69,158,7,93.69,8,0.683,0.339,4,0,25,1,Email,SMS,South,Mobile,VIP,1
CUST-90016,23,12000.0,46,23,3,110.25,6,0.219,0.07,4,0,5,0,SMS,Email,East,Desktop,VIP,0
CUST-90017,34,76600.0,12,213,8,44.61,4,0.33,0.181,3,0,20,1,Push,Push,South,Desktop,Regular,0
